Time (s),shunt V (mV),bus V ,current mA,power mW,load V 
0.5,42.27,10.14,247.70,4264.00,10.19,
1.0,121.02,9.88,1110.70,11046.00,10.00,
1.5,102.82,9.90,1023.90,10132.00,10.00,
2.0,98.70,9.91,1017.70,9902.00,10.01,
2.5,100.74,9.93,967.10,9588.00,10.03,
3.0,102.99,9.90,1047.30,10038.00,10.00,
3.5,91.39,9.93,961.00,9546.00,10.02,
4.0,93.16,9.90,926.00,9194.00,10.00,
4.5,77.28,9.94,776.50,7724.00,10.02,
5.0,81.17,9.91,805.30,7998.00,9.99,
5.5,71.22,10.06,797.20,7914.00,10.14,
6.0,148.41,9.79,1322.90,13100.00,9.94,
6.5,112.93,9.86,1050.60,10794.00,9.98,
7.0,76.86,9.96,779.10,7806.00,10.04,
7.5,104.73,9.91,1000.80,9952.00,10.01,
8.0,94.91,9.91,977.60,9726.00,10.00,
8.5,117.90,9.88,1149.10,11358.00,10.00,
9.0,74.70,9.97,787.50,7828.00,10.05,
9.5,75.93,9.95,816.00,8126.00,10.03,
10.0,80.85,9.88,863.80,8362.00,9.96,
10.5,102.64,9.91,1036.20,10260.00,10.01,
11.0,98.45,9.89,1029.10,10096.00,9.99,
11.5,154.78,9.82,1485.30,14332.00,9.97,
12.0,98.39,9.91,952.70,9466.00,10.01,
12.5,95.96,9.92,902.50,8952.00,10.02,
13.0,71.61,9.96,723.20,7196.00,10.03,
13.5,78.37,9.95,809.80,8058.00,10.03,
14.0,81.13,9.97,814.80,8088.00,10.05,
14.5,82.17,9.90,838.50,8418.00,9.98,
15.0,97.87,9.91,1001.90,9936.00,10.01,
15.5,94.47,9.92,967.00,9584.00,10.02,
16.0,99.66,9.90,1072.10,11128.00,10.00,
16.5,91.78,9.91,950.00,9402.00,10.00,
17.0,101.48,9.89,1017.30,10074.00,9.99,
17.5,79.08,9.94,809.50,8032.00,10.02,
18.0,75.66,9.95,839.70,8356.00,10.03,
18.5,84.96,9.94,848.40,8442.00,10.02,
19.0,106.24,9.86,989.70,10382.00,9.96,
19.5,102.60,9.89,1034.50,10240.00,9.99,
20.0,191.74,9.62,1718.80,16508.00,9.81,
20.5,93.34,9.90,964.00,9336.00,9.99,
21.0,93.03,9.90,928.60,8896.00,10.00,
21.5,69.79,9.94,713.70,6892.00,10.01,
22.0,79.66,9.93,779.80,7602.00,10.01,
22.5,77.81,9.92,821.90,8146.00,9.99,
23.0,80.89,9.92,818.90,8062.00,10.00,
23.5,104.84,9.88,1057.10,10472.00,9.98,
24.0,98.28,9.91,965.00,9558.00,10.01,
24.5,93.96,9.90,942.00,9326.00,10.00,
25.0,97.78,9.91,972.80,9188.00,10.01,
25.5,91.56,9.92,930.30,9028.00,10.01,
26.0,76.65,9.96,742.30,7418.00,10.03,
26.5,77.63,9.92,788.50,7874.00,10.00,
27.0,80.37,9.92,804.00,7976.00,10.00,
27.5,80.76,9.91,816.40,8098.00,9.99,
28.0,126.73,9.87,1267.90,12492.00,10.00,
28.5,95.85,9.89,949.40,9530.00,9.98,
29.0,95.67,9.90,930.50,9896.00,10.00,
29.5,91.01,9.89,928.90,9148.00,9.98,
30.0,93.78,9.91,925.20,9172.00,10.01,
30.5,76.03,9.94,731.90,7264.00,10.02,
31.0,81.57,9.93,777.90,7740.00,10.01,
31.5,83.93,9.90,812.90,8074.00,9.99,
32.0,135.37,9.81,1372.70,13540.00,9.94,
32.5,97.32,9.86,1019.90,9860.00,9.96,
33.0,96.61,9.87,937.80,9392.00,9.96,
33.5,92.37,9.89,943.20,9322.00,9.98,
34.0,91.18,9.90,927.60,9188.00,9.99,
34.5,72.17,9.93,718.60,7136.00,10.00,
35.0,76.49,9.93,772.00,7644.00,10.00,
35.5,79.62,9.87,803.60,7910.00,9.95,
36.0,80.68,9.89,782.50,7790.00,9.97,
36.5,99.29,9.88,980.90,9676.00,9.98,
37.0,94.48,9.89,1018.30,10076.00,9.98,
37.5,93.41,9.92,931.40,9552.00,10.01,
38.0,92.21,9.90,926.20,9158.00,10.00,
38.5,90.84,9.88,923.80,8936.00,9.97,
39.0,74.29,9.91,763.00,7572.00,9.99,
39.5,77.97,9.92,811.20,7808.00,9.99,
40.0,80.41,9.90,811.70,8028.00,9.98,
40.5,127.11,9.70,1329.10,13018.00,9.83,
41.0,99.03,9.89,981.60,9696.00,9.99,
41.5,96.22,9.86,948.10,9352.00,9.96,
42.0,93.47,9.88,928.00,9162.00,9.98,
42.5,91.48,9.90,936.40,9258.00,10.00,
43.0,133.62,9.75,1296.90,12638.00,9.89,
43.5,73.52,9.91,745.40,7400.00,9.99,
44.0,76.48,9.89,798.00,7854.00,9.96,
44.5,73.82,9.92,774.10,7668.00,10.00,
45.0,103.84,9.86,985.90,10384.00,9.96,
45.5,96.52,9.88,948.10,9376.00,9.98,
46.0,96.10,9.89,968.00,9340.00,9.99,
46.5,89.22,9.87,922.20,9112.00,9.96,
47.0,89.13,9.87,912.20,9008.00,9.96,
47.5,73.05,9.93,716.30,7130.00,10.01,
48.0,76.07,9.90,690.20,7408.00,9.98,
48.5,77.34,9.91,770.40,7678.00,9.99,
49.0,73.86,9.92,777.10,7698.00,10.00,
49.5,102.08,9.90,965.90,9558.00,10.00,
50.0,95.08,9.86,967.30,9526.00,9.96,
50.5,94.17,9.91,903.00,8920.00,10.00,
51.0,92.67,9.86,893.60,8812.00,9.96,
51.5,98.50,9.85,1009.80,9916.00,9.95,
52.0,74.51,9.92,706.20,6990.00,9.99,
52.5,77.38,9.87,791.40,7808.00,9.95,
53.0,78.42,9.88,782.10,7786.00,9.96,
53.5,103.82,9.78,968.30,9538.00,9.88,
54.0,98.67,9.90,982.10,9700.00,10.00,
54.5,95.44,9.81,989.90,9732.00,9.90,
55.0,69.16,9.94,688.10,6836.00,10.01,
55.5,91.53,9.90,949.50,9428.00,9.99,
56.0,70.00,9.88,732.20,7272.00,9.95,
56.5,69.89,9.92,748.50,7550.00,9.99,
57.0,74.86,9.93,776.60,7680.00,10.01,
57.5,77.69,9.92,783.70,7762.00,10.00,
58.0,103.05,9.90,1026.70,10152.00,10.00,
58.5,97.87,9.92,972.00,9460.00,10.02,
59.0,93.43,9.88,937.10,9148.00,9.98,
59.5,76.33,9.90,756.80,7586.00,9.98,
60.0,89.44,9.86,926.70,9146.00,9.95,
60.5,72.99,9.96,725.80,7218.00,10.03,
61.0,78.49,9.87,693.10,7494.00,9.95,
61.5,76.59,9.86,782.10,7708.00,9.93,
62.0,148.81,9.74,1371.50,13444.00,9.89,
62.5,101.73,9.89,1059.60,10512.00,9.99,
63.0,98.30,9.84,1019.60,10046.00,9.93,
63.5,92.67,9.86,922.50,9100.00,9.95,
64.0,91.00,9.83,904.80,8966.00,9.92,
64.5,83.82,9.84,874.90,8586.00,9.92,
65.0,71.39,9.83,687.30,6750.00,9.90,
65.5,75.50,9.83,759.90,7396.00,9.90,
66.0,77.80,9.82,771.10,7572.00,9.90,
66.5,144.37,9.71,1374.10,12410.00,9.86,
67.0,99.19,9.83,941.00,9828.00,9.93,
67.5,99.94,9.86,994.70,9818.00,9.96,
68.0,95.99,9.79,956.80,9388.00,9.88,
68.5,93.72,9.85,916.00,9018.00,9.94,
69.0,93.19,9.76,956.30,9384.00,9.85,
69.5,74.32,9.86,758.30,7320.00,9.93,
70.0,75.79,9.70,771.40,7488.00,9.78,
70.5,75.98,9.78,767.20,7508.00,9.86,
71.0,77.36,9.79,804.60,7874.00,9.87,
71.5,98.91,9.83,995.00,9484.00,9.93,
72.0,101.07,9.78,984.20,9732.00,9.88,
72.5,91.22,9.78,944.20,9218.00,9.88,
73.0,88.32,9.85,927.10,9122.00,9.94,
73.5,68.25,10.02,1373.10,12786.00,10.09,
74.0,72.98,9.86,736.30,7012.00,9.93,
74.5,71.29,9.92,744.50,7576.00,10.00,
75.0,74.82,9.86,755.90,7462.00,9.93,
75.5,101.04,9.82,1009.10,9892.00,9.92,
76.0,97.20,9.82,965.50,9414.00,9.92,
76.5,92.46,9.81,924.10,9076.00,9.90,
77.0,96.26,9.84,950.20,9280.00,9.94,
77.5,92.07,9.86,883.90,8858.00,9.96,
78.0,68.56,9.95,688.30,6836.00,10.02,
78.5,74.39,9.84,673.60,7092.00,9.92,
79.0,74.11,9.82,738.00,7226.00,9.90,
79.5,79.20,9.80,751.90,7376.00,9.88,
80.0,107.74,9.84,1091.50,9710.00,9.94,
80.5,96.88,9.79,963.00,9512.00,9.88,
81.0,96.28,9.91,938.30,9548.00,10.00,
81.5,96.90,9.76,954.40,9296.00,9.85,
82.0,88.10,9.80,867.40,8280.00,9.89,
82.5,68.88,9.86,702.90,6914.00,9.93,
83.0,76.11,9.85,763.80,7514.00,9.92,
83.5,76.70,9.82,734.00,7380.00,9.89,
84.0,79.62,9.83,801.90,7874.00,9.91,
84.5,95.52,9.77,973.40,9618.00,9.87,
85.0,96.57,9.77,950.70,9320.00,9.87,
85.5,87.14,9.81,887.40,8706.00,9.90,
86.0,88.36,9.78,869.20,8532.00,9.86,
86.5,86.99,9.79,862.20,8490.00,9.88,
87.0,71.72,9.89,681.70,7088.00,9.96,
87.5,69.29,9.92,725.60,7154.00,9.99,
88.0,75.52,9.86,755.70,7164.00,9.93,
88.5,85.15,9.79,1141.00,12924.00,9.88,
89.0,93.74,9.81,940.40,9234.00,9.91,
89.5,89.45,9.83,902.90,8874.00,9.92,
90.0,84.59,9.84,885.00,8700.00,9.93,
90.5,87.35,9.86,867.40,8546.00,9.95,
91.0,134.62,9.66,1261.40,12226.00,9.79,
91.5,71.99,9.84,731.50,7146.00,9.91,
92.0,75.31,9.88,731.50,7372.00,9.96,
92.5,76.21,9.79,757.50,7418.00,9.86,
93.0,93.30,9.85,962.10,9670.00,9.94,
93.5,89.03,9.78,928.10,9208.00,9.87,
94.0,91.28,9.86,907.50,8916.00,9.96,
94.5,69.82,9.90,724.20,6812.00,9.97,
95.0,90.45,9.75,892.50,8696.00,9.84,
95.5,68.99,9.85,681.40,6702.00,9.92,
96.0,75.30,9.84,679.50,6816.00,9.91,
96.5,75.04,9.84,755.90,7442.00,9.91,
97.0,75.98,9.82,764.10,7494.00,9.89,
97.5,98.31,9.85,965.20,9480.00,9.95,
98.0,97.86,9.83,964.20,9474.00,9.93,
98.5,87.85,9.74,904.50,8808.00,9.82,
99.0,107.55,9.71,1075.30,10454.00,9.82,
99.5,82.50,9.72,850.10,8188.00,9.80,
100.0,70.11,9.88,682.70,6750.00,9.95,
100.5,74.46,9.84,722.20,7128.00,9.91,
101.0,73.29,9.82,754.60,7498.00,9.89,
101.5,76.71,9.82,767.40,7432.00,9.90,
102.0,102.32,9.79,1021.20,10000.00,9.89,
102.5,91.71,9.76,893.30,8726.00,9.85,
103.0,92.28,9.74,890.00,8668.00,9.83,
103.5,89.30,9.73,883.20,8596.00,9.82,
104.0,87.69,9.76,880.40,8566.00,9.85,
104.5,66.91,9.84,702.40,6810.00,9.90,
105.0,68.25,9.84,729.80,7192.00,9.90,
105.5,75.19,9.78,756.40,7402.00,9.86,
106.0,118.60,9.60,1196.10,11492.00,9.71,
106.5,105.60,9.76,1052.50,10246.00,9.86,
107.0,93.40,9.74,937.40,8966.00,9.83,
107.5,91.54,9.86,916.10,8782.00,9.96,
108.0,87.88,9.81,890.60,8766.00,9.90,
108.5,84.95,9.76,855.40,8330.00,9.84,
109.0,70.64,9.78,709.30,6946.00,9.85,
109.5,72.59,9.74,724.50,7058.00,9.81,
110.0,75.98,9.74,751.00,7356.00,9.82,
110.5,74.31,9.72,919.80,9808.00,9.79,
111.0,97.14,9.61,1011.50,9746.00,9.71,
111.5,97.31,9.76,958.80,9372.00,9.86,
112.0,88.56,9.81,902.70,8844.00,9.90,
112.5,88.82,9.70,869.50,8422.00,9.79,
113.0,93.12,9.75,895.50,8704.00,9.84,
113.5,70.57,9.70,735.60,7140.00,9.77,
114.0,70.21,9.70,736.40,7128.00,9.77,
114.5,

 ,Average, Max 
shunt V (mV),=AVERAGE(B2:B239),=MAX(B2:B239) 
current mA ,=AVERAGE(D2:D239),=MAX(D2:D239) 
power mW ,=AVERAGE(E2:E239),=MAX(E2:E239), ,Joules,=SUM(E2:E239)/(2*1000)
